source_group_id,source_ids,name,provider,protocols,first_connector_scope,nominal_cadence,raw_retention_class,activation_gate,operator_hint,status
P01-SG-01,"HKAPI-001;HKAPI-002;HKAPI-003;HKAPI-004;HKAPI-012",DATA.GOV.HK catalogue and change discovery,Digital Policy Office,"REST/JSON;RSS/XML","package_list;package_show;group_list;group_show;changed-resource RSS",Daily metadata reconciliation,rights-specific,"G1 source rights; G2 live source",Catalogue connector owner,specified_pending_approval
P01-SG-02,"HKAPI-005;HKAPI-006;HKAPI-007;HKAPI-008;HKAPI-009;HKAPI-010",DATA.GOV.HK filtering and historical archive,Digital Policy Office,"REST/JSON;redirected files","filter v2;list-files;list-file-versions;get-file;get-schema;get-data-dictionary",Daily archive reconciliation,rights-specific,"G1 source rights; G2 live source",Archive connector owner,specified_pending_approval
P01-SG-03,"HKAPI-013;HKAPI-014",CSDI datasets and catalogue,Lands Department / contributing providers,"OGC WFS/WMS;ArcGIS REST;catalogue","service discovery;GetCapabilities;bounded GetFeature;layer metadata",Per-layer and weekly discovery,rights-specific,"G1 per-layer rights; G2 live source",Geospatial connector owner,specified_pending_approval
P01-SG-04,"HKAPI-015;HKAPI-023",CSDI and LandsD map services,Lands Department,"map REST;XYZ/vector/3D tiles;ArcGIS","metadata and bounded feature/map probes;no bulk tile mirroring",Daily service checks,metadata-only by default,"G1 map/tile terms; G2 live source",Map connector owner,specified_pending_approval
P01-SG-05,HKAPI-016,HKO open weather and climate data,Hong Kong Observatory,"REST/JSON;CSV;files","weather;warnings;earthquakes;climate;hourly rainfall",Source-specific from 60 seconds to daily,rights-specific,"G1 HKO terms; G2 live source",Weather connector owner,specified_pending_approval
P01-SG-06,HKAPI-017,C&SD Web Table API,Census and Statistics Department,"GET/POST JSON","table metadata and bounded table query",As published,rights-specific,"G1 C&SD terms; G2 live source",Statistics connector owner,specified_pending_approval
P01-SG-07,HKAPI-018,HKMA Open API,Hong Kong Monetary Authority,REST/JSON,"market statistics;institution registers;publications",Source-specific from daily to event-driven,rights-specific,"G1 HKMA terms; G2 live source",Financial-data connector owner,specified_pending_approval
P01-SG-08,HKAPI-019,Companies Registry open-data catalogue,Companies Registry,"REST/JSON;CSV;files","dataset discovery;approved company and licence resources",Daily or weekly by resource,rights-specific,"G1 dataset-specific terms; G2 live source",Company-data connector owner,specified_pending_approval
P01-SG-09,HKAPI-020,LegCo open-data collection,Legislative Council Secretariat,"OData;XML;CSV;feeds;files","bills;questions;votes;meetings;Hansard metadata",Source-specific and event-driven,rights-specific,"G1 LegCo terms; G2 live source",Legislative-data connector owner,specified_pending_approval
P01-SG-10,HKAPI-021,Address Lookup Service,Lands Department / Digital Policy Office,"REST/XML;REST/JSON","bounded address lookup with bilingual originals",On request,no bulk retention until approved,"G1 address-service terms; G2 live source",Address connector owner,specified_pending_approval
