monitor_id,source_id,source_group_id,provider,name,method,request_template,request_body_json,cadence_seconds,timeout_ms,freshness_rule,required_checks,public_visibility,activation_status,documentation_url,notes
P14-M001,HKAPI-001,P01-SG-01,Digital Policy Office,CKAN package list,GET,https://data.gov.hk/en-data/api/3/action/package_list?limit=10&offset=0,,21600,15000,retrieval_only,"availability;json;contract;schema",pending_review,specified_pending_approval,https://data.gov.hk/en/help/ckan-api-development-guide,Metadata endpoint
P14-M002,HKAPI-002,P01-SG-01,Digital Policy Office,CKAN package details example,GET,https://data.gov.hk/en-data/api/3/action/package_show?id=hk-td-tis_2-traffic-snapshot-images,,21600,15000,retrieval_only,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.gov.hk/en/help/ckan-api-development-guide,Example dataset ID is from the official guide
P14-M003,HKAPI-003,P01-SG-01,Digital Policy Office,CKAN category list,GET,https://data.gov.hk/en-data/api/3/action/group_list,,21600,15000,retrieval_only,"availability;json;contract;schema",pending_review,specified_pending_approval,https://data.gov.hk/en/help/ckan-api-development-guide,Metadata endpoint
P14-M004,HKAPI-004,P01-SG-01,Digital Policy Office,CKAN environment category details,GET,https://data.gov.hk/en-data/api/3/action/group_show?id=environment,,21600,15000,retrieval_only,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.gov.hk/en/help/ckan-api-development-guide,Category identifier must be rechecked at activation
P14-M005,HKAPI-012,P01-SG-01,Digital Policy Office,DATA.GOV.HK changed-resource RSS,GET,https://data.gov.hk/filestore/feeds/data_rss_en.xml,,21600,15000,feed_build_age<=172800,"availability;xml;contract;freshness",pending_review,specified_pending_approval,https://data.gov.hk/en-datasets,Feed describes changes in the previous 14 days
P14-M006,HKAPI-010,P01-SG-02,Digital Policy Office,DATA.GOV.HK Data Filtering API v2,GET,https://api.data.gov.hk/v2/filter?q={url_encoded_approved_probe_query},,21600,30000,upstream_resource_rule,"availability;contract;schema;semantic",private_until_review,specified_pending_approval,https://data.gov.hk/en/help/api-spec,Probe query is selected only after one resource is approved
P14-M007,HKAPI-005,P01-SG-02,Digital Policy Office,Historical archive file list,GET,https://app.data.gov.hk/v1/historical-archive/list-files?start={date_minus_2d}&end={date_minus_1d}&max=10&skip=0,,86400,30000,latest_archive_date<=2d,"availability;json;contract;freshness",pending_review,specified_pending_approval,https://data.gov.hk/en/help/api-spec,Dates are evaluated in Hong Kong time
P14-M008,HKAPI-006,P01-SG-02,Digital Policy Office,Historical archive file versions,GET,https://app.data.gov.hk/v1/historical-archive/list-file-versions?url={discovered_resource_url}&start={date_minus_7d}&end={date_minus_1d},,86400,30000,latest_archive_date<=2d,"availability;json;contract;freshness",private_until_review,specified_pending_approval,https://data.gov.hk/en/help/api-spec,Depends on a resource discovered by P14-M007
P14-M009,HKAPI-007,P01-SG-02,Digital Policy Office,Historical archive file download,GET,https://app.data.gov.hk/v1/historical-archive/get-file?url={discovered_resource_url}&time={discovered_version_time},,86400,60000,dependency_result,"availability;redirect;media;hash",private_until_review,specified_pending_approval,https://data.gov.hk/en/help/api-spec,Follow only allowlisted redirects and cap body size
P14-M010,HKAPI-008,P01-SG-02,Digital Policy Office,Historical archive schema download,GET,https://app.data.gov.hk/v1/historical-archive/get-schema?url={discovered_dataset_url}&date={discovered_archive_date},,86400,30000,dependency_result,"availability;redirect;media;schema",private_until_review,specified_pending_approval,https://data.gov.hk/en/help/api-spec,Dependency arguments come from approved discovery
